parcelle_id,culture,avg_risk_index,most_frequent_risk_category
P001,Ble,0.43454136305798674,Modéré
P001,Mais,0.6836678419658268,Modéré
P001,Tournesol,0.6674027164037981,Modéré
P001,sol_nu,0.12392679045041702,Modéré
P002,Ble,0.35901172819645566,Modéré
P002,Mais,1.1598507200631507,Élevé
P002,Tournesol,0.2642047899081561,Modéré
P002,sol_nu,0.08685449738875,Bas
P003,Ble,-0.5311076052387584,Bas
P003,Mais,0.13835830393467338,Bas
P003,Tournesol,-0.26522729763192376,Bas
P003,sol_nu,-0.6178960462588934,Bas
P004,Ble,0.22922048579966123,Bas
P004,Mais,-0.07841252080053035,Bas
P004,Tournesol,0.23972710308947082,Modéré
P004,sol_nu,-0.2754159928987714,Bas
P005,Ble,0.4169695383129983,Modéré
P005,Mais,0.6496317394390773,Modéré
P005,Tournesol,0.484144106113456,Modéré
P005,sol_nu,0.1394666426598496,Modéré
P006,Ble,0.5652219319821916,Modéré
P006,Mais,-0.24159162647646928,Bas
P006,Tournesol,-0.34495612067281006,Bas
P006,sol_nu,-0.5586254890539031,Bas
P007,Ble,0.15263150834240743,Modéré
P007,Mais,0.15331236284190378,Modéré
P007,Tournesol,-0.13961913326669897,Bas
P007,sol_nu,-0.19433358521417535,Bas
P008,Ble,-0.05607158590070037,Bas
P008,Mais,-0.14467934983041886,Bas
P008,Tournesol,-0.14878967195947804,Bas
P008,sol_nu,-0.4945284071103415,Bas
P009,Ble,0.03455427305630127,Bas
P009,Mais,0.2487896530092647,Modéré
P009,Tournesol,0.7900382186103777,Modéré
P009,sol_nu,-0.16156873659680793,Bas
P010,Ble,0.7849724770604651,Modéré
P010,Mais,0.6759690066999249,Modéré
P010,Tournesol,0.861247321491992,Modéré
P010,sol_nu,0.3409678440154271,Modéré
P011,Ble,0.3135516472862049,Modéré
P011,Mais,0.3774769707759208,Modéré
P011,Tournesol,0.16239257346515168,Modéré
P011,sol_nu,-0.04541453220728313,Bas
P012,Ble,-0.5100713576060188,Bas
P012,Mais,-0.31369229509896823,Bas
P012,Tournesol,-0.3667760946608178,Bas
P012,sol_nu,-0.7694933280466394,Bas
P013,Ble,1.151224627843476,Élevé
P013,Mais,-0.04245334783330181,Bas
P013,Tournesol,0.12462260419671686,Bas
P013,sol_nu,-0.3334776310366889,Bas
P014,Ble,-0.4826607314555399,Bas
P014,Mais,0.030018289629520432,Modéré
P014,Tournesol,-0.39710275037425385,Bas
P014,sol_nu,-1.0319790634889363,Très Bas
P015,Ble,0.01825860560334445,Modéré
P015,Mais,-0.3461113437882546,Bas
P015,Tournesol,-0.1259742926730359,Bas
P015,sol_nu,-0.49225238713647085,Bas
P016,Ble,-0.24664306925446222,Bas
P016,Mais,-0.5980141744587424,Bas
P016,Tournesol,-0.40416908392575884,Bas
P016,sol_nu,-0.8723078214936061,Bas
P017,Ble,0.5083536681908697,Modéré
P017,Mais,0.7171093998828265,Modéré
P017,Tournesol,0.27345066279837604,Modéré
P017,sol_nu,0.04931008033767986,Modéré
P018,Ble,0.09758098731227063,Bas
P018,Mais,-0.04085600964104236,Bas
P018,Tournesol,-0.33426011422615753,Bas
P018,sol_nu,-0.6830433055590515,Bas
P019,Ble,0.4451957007249908,Modéré
P019,Mais,0.2272487161541873,Modéré
P019,Tournesol,0.2352568631584985,Modéré
P019,sol_nu,-0.044404308942944073,Bas
P020,Ble,0.4188053527554182,Modéré
P020,Mais,0.5018384378920108,Modéré
P020,Tournesol,0.9897337928259499,Élevé
P020,sol_nu,0.024055161040318435,Bas
P021,Ble,-0.8960754436734135,Bas
P021,Mais,-0.5337525694667459,Bas
P021,Tournesol,-1.0363048106043162,Très Bas
P021,sol_nu,-1.246436606661219,Très Bas
P022,Ble,0.30310774784598893,Modéré
P022,Mais,0.41118900514125006,Modéré
P022,Tournesol,0.12052205247565993,Bas
P022,sol_nu,-0.1941289258868647,Bas
P023,Ble,0.024146886709731235,Bas
P023,Mais,0.41242034331708116,Modéré
P023,Tournesol,0.48043606720351295,Bas
P023,sol_nu,-0.2636804792821654,Bas
P024,Ble,0.3323627664590101,Modéré
P024,Mais,0.34655608587527015,Modéré
P024,Tournesol,0.30002149414407936,Modéré
P024,sol_nu,-0.007747298060475111,Bas
P025,Ble,0.4837841702246743,Modéré
P025,Mais,-0.0644085188276271,Bas
P025,Tournesol,0.2017217369092358,Modéré
P025,sol_nu,-0.46617191789788925,Bas
P026,Ble,0.33376028512957207,Modéré
P026,Mais,0.22498648722058054,Modéré
P026,Tournesol,0.17266972318172205,Modéré
P026,sol_nu,0.048972610912535186,Bas
P027,Ble,0.3867119783065899,Modéré
P027,Mais,0.3298426130217636,Modéré
P027,Tournesol,0.23442845925406283,Modéré
P027,sol_nu,-0.13318629785558656,Bas
P028,Ble,-0.9929772279409849,Bas
P028,Mais,-0.6379436949187195,Bas
P028,Tournesol,-0.9602743371218038,Très Bas
P028,sol_nu,-1.2184385040693788,Très Bas
P029,Ble,0.34110033167302756,Modéré
P029,Mais,0.5484734260302796,Modéré
P029,Tournesol,0.5321219806206889,Modéré
P029,sol_nu,0.1681765399079928,Modéré
P030,Ble,-1.229499729656819,Très Bas
P030,Mais,-0.9753919789743154,Très Bas
P030,Tournesol,-1.0649633102228133,Très Bas
P030,sol_nu,-1.4019760336406741,Très Bas
P031,Ble,-0.5587814227396958,Bas
P031,Mais,-0.7969554984585132,Très Bas
P031,Tournesol,-0.6460864616230457,Bas
P031,sol_nu,-1.1535427887368934,Très Bas
P032,Ble,0.008763405315586115,Bas
P032,Mais,0.23633936356666266,Modéré
P032,Tournesol,-0.058018098893294866,Bas
P032,sol_nu,-0.1323857304196061,Bas
P033,Ble,-0.8039670318201146,Bas
P033,Mais,-0.9865928424516979,Bas
P033,Tournesol,-0.8339395215182388,Bas
P033,sol_nu,-1.1744143490507073,Très Bas
P034,Ble,-0.23891264283483604,Bas
P034,Mais,-0.6826668980685624,Bas
P034,Tournesol,-0.6161271875235907,Bas
P034,sol_nu,-0.8014435688322846,Bas
P035,Ble,-0.0768477291828364,Bas
P035,Mais,0.19753311851436028,Modéré
P035,Tournesol,-0.021773904808775627,Bas
P035,sol_nu,-0.22239356194952223,Bas
P036,Ble,-0.4222933777662718,Bas
P036,Mais,-0.4085279059717536,Bas
P036,Tournesol,-0.770946830626981,Bas
P036,sol_nu,-0.8816335380149791,Bas
P037,Ble,-0.2982812325821986,Bas
P037,Mais,-0.31442304407628163,Bas
P037,Tournesol,-0.37984192783436344,Bas
P037,sol_nu,-0.8221563874356215,Bas
P038,Ble,0.3744670178323048,Bas
P038,Mais,-0.15171411009170155,Bas
P038,Tournesol,0.2448179699052126,Modéré
P038,sol_nu,-0.6055715371655954,Bas
P039,Ble,0.7541366248388667,Modéré
P039,Mais,0.31906600751357,Modéré
P039,Tournesol,0.514088847488022,Modéré
P039,sol_nu,-0.07045286512818166,Bas
P040,Ble,-0.8645447365991037,Bas
P040,Mais,-0.8217103077535234,Très Bas
P040,Tournesol,-0.8835803284206523,Très Bas
P040,sol_nu,-1.1487841374986592,Très Bas
P041,Ble,-0.2529837250594807,Bas
P041,Mais,0.0471923036890844,Modéré
P041,Tournesol,0.06783773375077036,Bas
P041,sol_nu,-0.5332268354653356,Bas
P042,Ble,0.31548479865552737,Modéré
P042,Mais,1.1585923297549008,Élevé
P042,Tournesol,0.41183439593382676,Modéré
P042,sol_nu,-0.24653139741347918,Bas
P043,Ble,0.9474566999749892,Modéré
P043,Mais,0.3987818529170203,Modéré
P043,Tournesol,0.6285511060090948,Modéré
P043,sol_nu,0.22369560668509594,Modéré
P044,Ble,-0.17674636992376824,Bas
P044,Mais,0.10079447669684306,Modéré
P044,Tournesol,-0.20316024327772234,Bas
P044,sol_nu,-0.5342770128219327,Bas
P045,Ble,-0.6803581462300929,Bas
P045,Mais,-0.7489249866470302,Bas
P045,Tournesol,-0.6025744347624424,Bas
P045,sol_nu,-1.2614633600170833,Très Bas
P046,Ble,-0.11736425572904752,Bas
P046,Mais,-0.33415847966317525,Bas
P046,Tournesol,-0.33887524276209563,Bas
P046,sol_nu,-0.5096220669430133,Bas
P047,Ble,0.42552316069166307,Modéré
P047,Mais,0.16077740024895665,Modéré
P047,Tournesol,0.3980494511770472,Modéré
P047,sol_nu,0.0028601716971024815,Bas
P048,Ble,0.42833269065180346,Modéré
P048,Mais,0.3430702612224957,Modéré
P048,Tournesol,0.4911632280694911,Modéré
P048,sol_nu,0.057123434766769926,Modéré
P049,Ble,0.42698622191690344,Modéré
P049,Mais,0.2546627684010076,Modéré
P049,Tournesol,-0.014683271599741473,Bas
P049,sol_nu,-0.1780719453463433,Bas
P050,Ble,-0.11904058475162707,Bas
P050,Mais,-0.47576623341424246,Bas
P050,Tournesol,-0.12787875062942633,Bas
P050,sol_nu,-0.6996552551763295,Bas
